city,date,aqi,pm25,pm10,no2,co,days_since_update,freshness,is_high_pollution,data_quality,freshness_status
Beijing,2026-09-12 19:00:00,63,63,38.0,5.5,2.8,-1,Live,False,good,Live
London,2026-09-12 11:00:00,34,34,16.0,24.7,2.6,0,Live,False,good,Live
Paris,2026-09-12 11:00:00,16,38,10.0,19.0,0.1,0,Live,False,good,Live
Tokyo,2026-09-12 19:00:00,30,30,14.0,13.9,5.6,-1,Live,False,good,Live
Seoul,2026-09-12 20:00:00,70,70,32.0,18.3,5.9,-1,Live,False,good,Live
Bangkok,2026-09-12 19:00:00,63,63,27.0,1.8,0.2,-1,Live,False,good,Live
Santiago,2026-09-12 07:00:00,65,65,40.0,12.9,4.5,0,Live,False,good,Live
Rome,2026-01-24 23:00:00,25,25,12.0,24.7,3.83,230,Stale,False,partial,Stale
Delhi,2026-09-12 17:00:00,38,38,21.0,14.3,10.0,0,Live,False,good,Live
São Paulo,2026-09-12 08:00:00,25,25,9.0,22.9,3.7,0,Live,False,good,Live
Berlin,2026-09-12 13:00:00,30,30,13.0,3.2,0.1,0,Live,False,good,Live
Sydney,2026-09-12 18:00:00,18,18,10.0,16.8,1.7,-1,Live,False,good,Live
New York,2026-09-12 05:00:00,27,27,24.12,12.98,3.83,0,Live,False,poor,Live
Ottawa,2026-09-12 07:00:00,42,42,24.12,6.1,5.0,0,Live,False,partial,Live
Mexico City,2026-09-11 19:00:00,76,76,37.0,26.0,8.9,0,Live,False,good,Live
Warsaw,2026-09-12 13:00:00,30,20,11.0,2.5,1.1,0,Live,False,good,Live
Moscow,2026-09-12 14:00:00,21,21,11.0,6.0,1.9,0,Live,False,good,Live
Hanoi,2026-09-12 17:00:00,93,93,24.12,12.98,3.83,0,Live,False,poor,Live
Singapore,2026-09-12 19:00:00,97,97,40.0,12.98,8.0,-1,Live,False,partial,Live
Ulaanbaatar,2026-06-13 02:00:00,69,4,69.0,2.0,3.0,91,Stale,False,good,Stale
